month,year,period,product_visionchat_starter_vnd,product_visionchat_business_vnd,product_visionchat_enterprise_vnd,product_datapulse_vnd,product_custom_ai_consulting_vnd,total_new_arr_vnd,total_expansion_arr_vnd,total_churn_vnd,total_mrr_vnd,total_revenue_vnd,new_customers,churned_customers,active_customers,avg_contract_value_vnd,cac_vnd,ltv_vnd,gross_margin_pct,net_revenue_retention_pct,note
1,2024,2024-01,8000000,60000000,233333333,0,0,96000000,0,0,301333333,301333333,2,0,8,37666667,8500000,180000000,68.5,,Tháng đầu năm tăng trưởng chậm
2,2024,2024-02,8000000,60000000,233333333,0,50000000,50000000,0,0,351333333,401333333,1,0,9,44592593,9200000,195000000,69.2,,Thêm hợp đồng consulting PharmaViet
3,2024,2024-03,10000000,100000000,308333333,0,120000000,120000000,0,0,418333333,538333333,3,0,12,44861111,8800000,200000000,70.1,,Ký mới 3 khách hàng Business Q1 kết thúc tốt
4,2024,2024-04,10000000,120000000,308333333,0,50000000,20000000,20000000,0,468333333,558333333,2,1,13,42948718,9500000,198000000,70.3,104.3,Churn 1 SME không phù hợp
5,2024,2024-05,14000000,120000000,408333333,0,100000000,200000000,0,0,642333333,742333333,2,0,15,49488889,10200000,210000000,71.0,108.2,Ký Capital Finance Enterprise – hợp đồng lớn nhất từ trước đến nay
6,2024,2024-06,14000000,140000000,408333333,8000000,100000000,96000000,12000000,0,670333333,766333333,2,0,17,47431373,9800000,215000000,71.5,106.5,Ra mắt DataPulse alpha – thêm 1 khách hàng pilot
7,2024,2024-07,18000000,150000000,524999667,16666667,116666667,302000000,0,0,826333000,1128332667,3,0,20,56416633,11000000,220000000,72.0,109.8,Ký MedCare 3 năm – doanh thu một lần lớn
8,2024,2024-08,22000000,165000000,524999667,16666667,116666667,24000000,0,0,845333001,869332667,1,0,21,54333333,10500000,225000000,72.3,111.2,Tăng trưởng ổn định
9,2024,2024-09,22000000,165000000,524999667,16666667,116666667,6000000,0,0,845333001,851332667,1,0,21,52646865,10000000,228000000,72.8,112.5,Thêm SmartHotel Starter
10,2024,2024-10,22000000,165000000,524999667,16666667,116666667,0,0,30000000,815333001,815333001,0,1,20,50958312,9500000,225000000,72.5,109.1,BacNinh Manufacturing churn – cần review quy trình renewal
